# Farfield Pattern Export
# Frequency [Hz]: 3.000000e+09
# N elements: 8
# Directivity [dBi]: 6.81
Theta [deg.]; Phi [deg.]; Abs(Dir.)[dB]; Abs(F); Phase(F)[deg.]
-18.7200; 0.0000; -8.8244; 0.382282; 28.4333
-18.5400; 0.0000; -8.6507; 0.389591; 28.5049
-18.3600; 0.0000; -8.4785; 0.396976; 28.5614
-18.1800; 0.0000; -8.3079; 0.404433; 28.6033
-18.0000; 0.0000; -8.1388; 0.411960; 28.6309
-17.8200; 0.0000; -7.9713; 0.419553; 28.6447
-17.6400; 0.0000; -7.8055; 0.427210; 28.6451
-17.4600; 0.0000; -7.6413; 0.434928; 28.6325
-17.2800; 0.0000; -7.4789; 0.442704; 28.6073
-17.1000; 0.0000; -7.3182; 0.450535; 28.5698
-16.9200; 0.0000; -7.1592; 0.458417; 28.5204
-16.7400; 0.0000; -7.0019; 0.466347; 28.4595
-16.5600; 0.0000; -6.8465; 0.474323; 28.3874
-16.3800; 0.0000; -6.6928; 0.482342; 28.3045
-16.2000; 0.0000; -6.5409; 0.490399; 28.2111
-16.0200; 0.0000; -6.3909; 0.498493; 28.1076
-15.8400; 0.0000; -6.2426; 0.506620; 27.9941
-15.6600; 0.0000; -6.0962; 0.514777; 27.8712
-15.4800; 0.0000; -5.9516; 0.522960; 27.7389
-15.3000; 0.0000; -5.8088; 0.531167; 27.5977
-15.1200; 0.0000; -5.6679; 0.539395; 27.4478
-14.9400; 0.0000; -5.5288; 0.547639; 27.2895
-14.7600; 0.0000; -5.3916; 0.555898; 27.1230
-14.5800; 0.0000; -5.2561; 0.564168; 26.9486
-14.4000; 0.0000; -5.1226; 0.572445; 26.7665
-14.2200; 0.0000; -4.9909; 0.580726; 26.5770
-14.0400; 0.0000; -4.8610; 0.589009; 26.3803
-13.8600; 0.0000; -4.7329; 0.597290; 26.1766
-13.6800; 0.0000; -4.6067; 0.605566; 25.9661
-13.5000; 0.0000; -4.4824; 0.613833; 25.7491
-13.3200; 0.0000; -4.3598; 0.622089; 25.5258
-13.1400; 0.0000; -4.2391; 0.630329; 25.2963
-12.9600; 0.0000; -4.1202; 0.638552; 25.0608
-12.7800; 0.0000; -4.0031; 0.646754; 24.8195
-12.6000; 0.0000; -3.8878; 0.654931; 24.5726
-12.4200; 0.0000; -3.7744; 0.663080; 24.3203
-12.2400; 0.0000; -3.6627; 0.671199; 24.0627
-12.0600; 0.0000; -3.5528; 0.679284; 23.8000
-11.8800; 0.0000; -3.4447; 0.687331; 23.5324
-11.7000; 0.0000; -3.3384; 0.695338; 23.2599
-11.5200; 0.0000; -3.2339; 0.703302; 22.9829
-11.3400; 0.0000; -3.1312; 0.711219; 22.7012
-11.1600; 0.0000; -3.0302; 0.719086; 22.4153
-10.9800; 0.0000; -2.9310; 0.726901; 22.1250
-10.8000; 0.0000; -2.8335; 0.734659; 21.8307
-10.6200; 0.0000; -2.7378; 0.742359; 21.5324
-10.4400; 0.0000; -2.6438; 0.749996; 21.2302
-10.2600; 0.0000; -2.5516; 0.757569; 20.9243
-10.0800; 0.0000; -2.4611; 0.765073; 20.6148
-9.9000; 0.0000; -2.3723; 0.772506; 20.3017
-9.7200; 0.0000; -2.2852; 0.779865; 19.9852
-9.5400; 0.0000; -2.1998; 0.787148; 19.6655
